"Timestamp","1️⃣ Age Group:","2️⃣ Gender:","3️⃣ Current Education Level:","4️⃣ On a scale of 1 to 5, how stressed do you feel about academics? (1 = Not Stressed, 5 = Extremely Stressed)  ","5️⃣ How many hours per day do you spend on academic work (assignments, studying, lectures, etc.)?  ","6️⃣ What are the biggest academic stressors for you? (Select all that apply)  ","7️⃣ On average, how many hours of sleep do you get per night?  ","8️⃣ Do you engage in any of the following habits regularly? (Select all that apply)  ","9️⃣ How often do you feel overwhelmed by stress?  ","🔟 When feeling stressed or anxious, what helps you the most? (Select all that apply)  ","1️⃣1️⃣ Would you be interested in a WhatsApp chatbot that provides instant mental health tips?  ","1️⃣2️⃣ Would you like to receive personalized mental health insights based on your responses?  ","1️⃣3️⃣ What kind of support do you think would help improve student mental health? (Select all that apply)  ",""
"2025/02/19 1:53:10 PM GMT+5:30","16-18","Female","Postgraduate","2️⃣","2-4 hours","Competitive Environment","4-6 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 1:53:18 PM GMT+5:30","26+","Female","Undergraduate","3️⃣","4-6 hours","Maintaining Good Grades","4-6 hours","Socializing with friends/family","Rarely (Almost never)","Exercising or engaging in a hobby","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 1:53:26 PM GMT+5:30","26+","Female","Postgraduate","3️⃣","Less than 2 hours","Maintaining Good Grades","More than 8 hours","Healthy eating habits","Rarely (Almost never)","Taking short breaks or naps","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 1:53:34 PM GMT+5:30","19-21","Female","Postgraduate","3️⃣","4-6 hours","Competitive Environment","More than 8 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Talking to a friend or family member","No, I don’t think I’d use it.","Yes","Easy access to counseling services",""
"2025/02/19 1:53:41 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Postgraduate","4️⃣","2-4 hours","Assignments & Deadlines","Less than 4 hours","Listening to music/podcasts for relaxation","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 1:53:49 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Postgraduate","3️⃣","4-6 hours","Assignments & Deadlines","Less than 4 hours","Socializing with friends/family","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:53:57 PM GMT+5:30","16-18","Male","Undergraduate","1️⃣","2-4 hours","Lack of Time Management","More than 8 hours","Listening to music/podcasts for relaxation","Always (Every day)","Talking to a friend or family member","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:54:05 PM GMT+5:30","22-25","Female","High School","1️⃣","Less than 2 hours","Maintaining Good Grades","More than 8 hours","Listening to music/podcasts for relaxation","Rarely (Almost never)","Taking short breaks or naps","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:54:13 PM GMT+5:30","26+","Non-binary / Prefer not to say","Postgraduate","4️⃣","2-4 hours","Assignments & Deadlines","More than 8 hours","Healthy eating habits","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","No","Easy access to counseling services",""
"2025/02/19 1:54:21 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","1️⃣","4-6 hours","Lack of Time Management","More than 8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Talking to a friend or family member","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 1:54:29 PM GMT+5:30","16-18","Female","High School","2️⃣","2-4 hours","Lack of Time Management","Less than 4 hours","Healthy eating habits","Rarely (Almost never)","Talking to a friend or family member","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:54:36 PM GMT+5:30","22-25","Male","High School","3️⃣","Less than 2 hours","Assignments & Deadlines","4-6 hours","Healthy eating habits","Often (Several times a week)","Talking to a friend or family member","Yes, I would love that!","No","Easy access to counseling services",""
"2025/02/19 1:54:44 PM GMT+5:30","22-25","Non-binary / Prefer not to say","High School","5️⃣","More than 6 hours","Competitive Environment","More than 8 hours","Socializing with friends/family","Rarely (Almost never)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 1:54:52 PM GMT+5:30","22-25","Female","Undergraduate","5️⃣","More than 6 hours","Exams & Tests","6-8 hours","Listening to music/podcasts for relaxation","Rarely (Almost never)","Exercising or engaging in a hobby","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:55:00 PM GMT+5:30","22-25","Female","Postgraduate","4️⃣","2-4 hours","Assignments & Deadlines","4-6 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Using social media to distract myself","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:55:08 PM GMT+5:30","19-21","Male","High School","4️⃣","More than 6 hours","Lack of Time Management","Less than 4 hours","Healthy eating habits","Always (Every day)","Taking short breaks or naps","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:55:16 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","5️⃣","4-6 hours","Exams & Tests","6-8 hours","Healthy eating habits","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 1:55:24 PM GMT+5:30","26+","Male","Undergraduate","2️⃣","Less than 2 hours","Competitive Environment","Less than 4 hours","Meditation or mindfulness practices","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 1:55:31 PM GMT+5:30","19-21","Female","Postgraduate","2️⃣","Less than 2 hours","Maintaining Good Grades","6-8 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Using social media to distract myself","Yes, I would love that!","Yes","More mental health awareness in schools/universities",""
"2025/02/19 1:55:39 PM GMT+5:30","26+","Male","Postgraduate","2️⃣","2-4 hours","Lack of Time Management","6-8 hours","Regular exercise or physical activity","Often (Several times a week)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","Relaxation spaces in academic institutions",""
"2025/02/19 1:55:47 PM GMT+5:30","26+","Non-binary / Prefer not to say","Postgraduate","4️⃣","4-6 hours","Maintaining Good Grades","Less than 4 hours","Regular exercise or physical activity","Often (Several times a week)","Talking to a friend or family member","Maybe, I’m curious.","No","Easy access to counseling services",""
"2025/02/19 1:55:55 PM GMT+5:30","22-25","Male","Postgraduate","2️⃣","4-6 hours","Assignments & Deadlines","More than 8 hours","Meditation or mindfulness practices","Often (Several times a week)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","More mental health awareness in schools/universities",""
"2025/02/19 1:56:03 PM GMT+5:30","26+","Male","Postgraduate","2️⃣","4-6 hours","Assignments & Deadlines","More than 8 hours","Socializing with friends/family","Rarely (Almost never)","Using social media to distract myself","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:56:11 PM GMT+5:30","26+","Female","Undergraduate","5️⃣","More than 6 hours","Lack of Time Management","Less than 4 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:56:19 PM GMT+5:30","19-21","Male","High School","4️⃣","2-4 hours","Assignments & Deadlines","More than 8 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:56:27 PM GMT+5:30","26+","Female","Postgraduate","5️⃣","4-6 hours","Maintaining Good Grades","4-6 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Talking to a friend or family member","Yes, I would love that!","No","Mindfulness workshops & stress management programs",""
"2025/02/19 1:56:35 PM GMT+5:30","16-18","Male","High School","5️⃣","4-6 hours","Assignments & Deadlines","Less than 4 hours","Meditation or mindfulness practices","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:56:43 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","2️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Healthy eating habits","Always (Every day)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:56:51 PM GMT+5:30","26+","Female","Postgraduate","2️⃣","2-4 hours","Assignments & Deadlines","More than 8 hours","Meditation or mindfulness practices","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 1:56:58 PM GMT+5:30","26+","Male","High School","3️⃣","Less than 2 hours","Assignments & Deadlines","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 1:57:06 PM GMT+5:30","26+","Male","Postgraduate","3️⃣","Less than 2 hours","Assignments & Deadlines","4-6 hours","Socializing with friends/family","Sometimes (A few times a month)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:57:14 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Postgraduate","3️⃣","4-6 hours","Lack of Time Management","More than 8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Using social media to distract myself","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:57:22 PM GMT+5:30","26+","Non-binary / Prefer not to say","High School","3️⃣","2-4 hours","Maintaining Good Grades","More than 8 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 1:57:30 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Postgraduate","5️⃣","More than 6 hours","Exams & Tests","More than 8 hours","Regular exercise or physical activity","Often (Several times a week)","Taking short breaks or naps","Maybe, I’m curious.","No","Relaxation spaces in academic institutions",""
"2025/02/19 1:57:37 PM GMT+5:30","22-25","Male","Postgraduate","1️⃣","Less than 2 hours","Exams & Tests","Less than 4 hours","Healthy eating habits","Often (Several times a week)","Taking short breaks or naps","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 1:57:45 PM GMT+5:30","26+","Non-binary / Prefer not to say","Postgraduate","5️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Taking short breaks or naps","Maybe, I’m curious.","Yes","Easy access to counseling services",""
"2025/02/19 1:57:53 PM GMT+5:30","26+","Male","Undergraduate","5️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Regular exercise or physical activity","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:58:01 PM GMT+5:30","16-18","Female","Undergraduate","2️⃣","Less than 2 hours","Competitive Environment","More than 8 hours","Regular exercise or physical activity","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","No","Easy access to counseling services",""
"2025/02/19 1:58:09 PM GMT+5:30","26+","Male","Postgraduate","3️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Regular exercise or physical activity","Rarely (Almost never)","Talking to a friend or family member","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:58:17 PM GMT+5:30","22-25","Female","High School","3️⃣","More than 6 hours","Maintaining Good Grades","Less than 4 hours","Socializing with friends/family","Often (Several times a week)","Taking short breaks or naps","Maybe, I’m curious.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:58:25 PM GMT+5:30","26+","Female","Postgraduate","2️⃣","More than 6 hours","Assignments & Deadlines","More than 8 hours","Socializing with friends/family","Sometimes (A few times a month)","Talking to a friend or family member","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 1:58:33 PM GMT+5:30","26+","Male","Postgraduate","5️⃣","More than 6 hours","Competitive Environment","6-8 hours","Socializing with friends/family","Sometimes (A few times a month)","Taking short breaks or naps","No, I don’t think I’d use it.","Yes","Easy access to counseling services",""
"2025/02/19 1:58:40 PM GMT+5:30","19-21","Male","Postgraduate","5️⃣","More than 6 hours","Competitive Environment","More than 8 hours","Socializing with friends/family","Sometimes (A few times a month)","Exercising or engaging in a hobby","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 1:58:48 PM GMT+5:30","26+","Non-binary / Prefer not to say","Undergraduate","1️⃣","More than 6 hours","Exams & Tests","More than 8 hours","Regular exercise or physical activity","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:58:56 PM GMT+5:30","26+","Non-binary / Prefer not to say","High School","4️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Meditation or mindfulness practices","Sometimes (A few times a month)","Talking to a friend or family member","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:59:04 PM GMT+5:30","26+","Female","Undergraduate","5️⃣","Less than 2 hours","Assignments & Deadlines","6-8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 1:59:12 PM GMT+5:30","19-21","Female","Postgraduate","4️⃣","More than 6 hours","Assignments & Deadlines","More than 8 hours","Regular exercise or physical activity","Always (Every day)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 1:59:20 PM GMT+5:30","19-21","Female","Postgraduate","2️⃣","More than 6 hours","Exams & Tests","4-6 hours","Socializing with friends/family","Often (Several times a week)","Taking short breaks or naps","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 1:59:28 PM GMT+5:30","19-21","Male","Postgraduate","4️⃣","4-6 hours","Competitive Environment","6-8 hours","Regular exercise or physical activity","Rarely (Almost never)","Using social media to distract myself","No, I don’t think I’d use it.","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 1:59:35 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","2️⃣","2-4 hours","Exams & Tests","More than 8 hours","Healthy eating habits","Always (Every day)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 1:59:43 PM GMT+5:30","22-25","Non-binary / Prefer not to say","Postgraduate","1️⃣","4-6 hours","Competitive Environment","4-6 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Seeking professional help (counseling, therapy)","Yes, I would love that!","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 1:59:51 PM GMT+5:30","19-21","Male","Postgraduate","5️⃣","4-6 hours","Lack of Time Management","More than 8 hours","Regular exercise or physical activity","Rarely (Almost never)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 1:59:59 PM GMT+5:30","26+","Male","Undergraduate","5️⃣","Less than 2 hours","Competitive Environment","6-8 hours","Listening to music/podcasts for relaxation","Always (Every day)","Taking short breaks or naps","Maybe, I’m curious.","Yes","Easy access to counseling services",""
"2025/02/19 2:00:06 PM GMT+5:30","22-25","Male","Postgraduate","4️⃣","4-6 hours","Competitive Environment","Less than 4 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:00:15 PM GMT+5:30","16-18","Female","High School","1️⃣","Less than 2 hours","Exams & Tests","6-8 hours","Regular exercise or physical activity","Always (Every day)","Using social media to distract myself","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:00:22 PM GMT+5:30","19-21","Female","High School","3️⃣","2-4 hours","Exams & Tests","6-8 hours","Regular exercise or physical activity","Often (Several times a week)","Seeking professional help (counseling, therapy)","Yes, I would love that!","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:00:30 PM GMT+5:30","26+","Non-binary / Prefer not to say","High School","3️⃣","More than 6 hours","Maintaining Good Grades","4-6 hours","Socializing with friends/family","Always (Every day)","Using social media to distract myself","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:00:38 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","4️⃣","2-4 hours","Maintaining Good Grades","6-8 hours","Healthy eating habits","Always (Every day)","Talking to a friend or family member","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:00:46 PM GMT+5:30","16-18","Non-binary / Prefer not to say","High School","1️⃣","2-4 hours","Lack of Time Management","4-6 hours","Healthy eating habits","Sometimes (A few times a month)","Taking short breaks or naps","No, I don’t think I’d use it.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:00:54 PM GMT+5:30","26+","Male","Undergraduate","5️⃣","Less than 2 hours","Exams & Tests","6-8 hours","Regular exercise or physical activity","Often (Several times a week)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:01:02 PM GMT+5:30","26+","Male","Postgraduate","4️⃣","More than 6 hours","Maintaining Good Grades","More than 8 hours","Socializing with friends/family","Sometimes (A few times a month)","Using social media to distract myself","Yes, I would love that!","Yes","More mental health awareness in schools/universities",""
"2025/02/19 2:01:10 PM GMT+5:30","22-25","Male","High School","5️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","No","Relaxation spaces in academic institutions",""
"2025/02/19 2:01:17 PM GMT+5:30","22-25","Male","Undergraduate","3️⃣","Less than 2 hours","Maintaining Good Grades","More than 8 hours","Healthy eating habits","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","No","Relaxation spaces in academic institutions",""
"2025/02/19 2:01:25 PM GMT+5:30","19-21","Non-binary / Prefer not to say","High School","1️⃣","2-4 hours","Maintaining Good Grades","Less than 4 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Talking to a friend or family member","Maybe, I’m curious.","No","More mental health awareness in schools/universities",""
"2025/02/19 2:01:33 PM GMT+5:30","22-25","Male","High School","4️⃣","More than 6 hours","Competitive Environment","More than 8 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Using social media to distract myself","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 2:01:41 PM GMT+5:30","22-25","Male","High School","1️⃣","More than 6 hours","Competitive Environment","6-8 hours","Socializing with friends/family","Rarely (Almost never)","Exercising or engaging in a hobby","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 2:01:49 PM GMT+5:30","26+","Non-binary / Prefer not to say","Postgraduate","4️⃣","More than 6 hours","Competitive Environment","More than 8 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Using social media to distract myself","Yes, I would love that!","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 2:01:57 PM GMT+5:30","19-21","Female","Undergraduate","3️⃣","Less than 2 hours","Competitive Environment","6-8 hours","Socializing with friends/family","Always (Every day)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Easy access to counseling services",""
"2025/02/19 2:02:05 PM GMT+5:30","26+","Male","Undergraduate","1️⃣","More than 6 hours","Exams & Tests","Less than 4 hours","Socializing with friends/family","Rarely (Almost never)","Taking short breaks or naps","No, I don’t think I’d use it.","No","More mental health awareness in schools/universities",""
"2025/02/19 2:02:13 PM GMT+5:30","16-18","Female","High School","1️⃣","Less than 2 hours","Competitive Environment","6-8 hours","Socializing with friends/family","Always (Every day)","Taking short breaks or naps","Maybe, I’m curious.","Yes","More mental health awareness in schools/universities",""
"2025/02/19 2:02:20 PM GMT+5:30","26+","Non-binary / Prefer not to say","High School","1️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Meditation or mindfulness practices","Often (Several times a week)","Seeking professional help (counseling, therapy)","Yes, I would love that!","Yes","Easy access to counseling services",""
"2025/02/19 2:02:29 PM GMT+5:30","16-18","Male","Postgraduate","2️⃣","2-4 hours","Assignments & Deadlines","More than 8 hours","Listening to music/podcasts for relaxation","Always (Every day)","Taking short breaks or naps","No, I don’t think I’d use it.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:02:37 PM GMT+5:30","22-25","Non-binary / Prefer not to say","High School","3️⃣","4-6 hours","Exams & Tests","Less than 4 hours","Socializing with friends/family","Always (Every day)","Taking short breaks or naps","Yes, I would love that!","No","More mental health awareness in schools/universities",""
"2025/02/19 2:02:45 PM GMT+5:30","16-18","Male","High School","5️⃣","More than 6 hours","Competitive Environment","6-8 hours","Healthy eating habits","Often (Several times a week)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","No","Easy access to counseling services",""
"2025/02/19 2:02:53 PM GMT+5:30","16-18","Non-binary / Prefer not to say","Undergraduate","1️⃣","2-4 hours","Exams & Tests","More than 8 hours","Healthy eating habits","Always (Every day)","Using social media to distract myself","Yes, I would love that!","Yes","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:03:01 PM GMT+5:30","19-21","Female","High School","4️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Meditation or mindfulness practices","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:03:09 PM GMT+5:30","22-25","Female","Postgraduate","4️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Socializing with friends/family","Sometimes (A few times a month)","Talking to a friend or family member","Maybe, I’m curious.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 2:03:17 PM GMT+5:30","19-21","Male","Undergraduate","2️⃣","2-4 hours","Maintaining Good Grades","Less than 4 hours","Meditation or mindfulness practices","Often (Several times a week)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","No","Relaxation spaces in academic institutions",""
"2025/02/19 2:03:25 PM GMT+5:30","26+","Male","High School","2️⃣","4-6 hours","Exams & Tests","4-6 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Exercising or engaging in a hobby","Maybe, I’m curious.","Yes","Easy access to counseling services",""
"2025/02/19 2:03:33 PM GMT+5:30","16-18","Male","Undergraduate","1️⃣","More than 6 hours","Assignments & Deadlines","More than 8 hours","Healthy eating habits","Always (Every day)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:03:40 PM GMT+5:30","22-25","Non-binary / Prefer not to say","High School","1️⃣","2-4 hours","Maintaining Good Grades","Less than 4 hours","Healthy eating habits","Sometimes (A few times a month)","Exercising or engaging in a hobby","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:03:48 PM GMT+5:30","22-25","Female","High School","1️⃣","More than 6 hours","Lack of Time Management","6-8 hours","Socializing with friends/family","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:03:56 PM GMT+5:30","16-18","Female","High School","2️⃣","4-6 hours","Assignments & Deadlines","More than 8 hours","Socializing with friends/family","Always (Every day)","Exercising or engaging in a hobby","No, I don’t think I’d use it.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:04:04 PM GMT+5:30","26+","Male","High School","2️⃣","More than 6 hours","Lack of Time Management","More than 8 hours","Listening to music/podcasts for relaxation","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:04:12 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","3️⃣","More than 6 hours","Assignments & Deadlines","Less than 4 hours","Listening to music/podcasts for relaxation","Always (Every day)","Exercising or engaging in a hobby","Maybe, I’m curious.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:04:20 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","1️⃣","2-4 hours","Exams & Tests","4-6 hours","Healthy eating habits","Always (Every day)","Talking to a friend or family member","No, I don’t think I’d use it.","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:04:28 PM GMT+5:30","22-25","Male","Postgraduate","3️⃣","Less than 2 hours","Maintaining Good Grades","Less than 4 hours","Regular exercise or physical activity","Sometimes (A few times a month)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","Relaxation spaces in academic institutions",""
"2025/02/19 2:04:35 PM GMT+5:30","22-25","Male","Undergraduate","3️⃣","2-4 hours","Exams & Tests","6-8 hours","Meditation or mindfulness practices","Often (Several times a week)","Seeking professional help (counseling, therapy)","No, I don’t think I’d use it.","No","Easy access to counseling services",""
"2025/02/19 2:04:43 PM GMT+5:30","22-25","Female","Undergraduate","3️⃣","Less than 2 hours","Competitive Environment","More than 8 hours","Healthy eating habits","Always (Every day)","Talking to a friend or family member","No, I don’t think I’d use it.","No","Mindfulness workshops & stress management programs",""
"2025/02/19 2:04:51 PM GMT+5:30","22-25","Male","Undergraduate","3️⃣","More than 6 hours","Exams & Tests","4-6 hours","Meditation or mindfulness practices","Rarely (Almost never)","Using social media to distract myself","No, I don’t think I’d use it.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 2:04:59 PM GMT+5:30","19-21","Female","High School","1️⃣","Less than 2 hours","Maintaining Good Grades","4-6 hours","Listening to music/podcasts for relaxation","Often (Several times a week)","Seeking professional help (counseling, therapy)","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:05:07 PM GMT+5:30","19-21","Male","High School","2️⃣","Less than 2 hours","Assignments & Deadlines","More than 8 hours","Regular exercise or physical activity","Always (Every day)","Exercising or engaging in a hobby","Yes, I would love that!","Yes","More mental health awareness in schools/universities",""
"2025/02/19 2:05:15 PM GMT+5:30","16-18","Male","High School","3️⃣","More than 6 hours","Exams & Tests","4-6 hours","Healthy eating habits","Always (Every day)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:05:22 PM GMT+5:30","19-21","Female","High School","3️⃣","2-4 hours","Lack of Time Management","Less than 4 hours","Healthy eating habits","Sometimes (A few times a month)","Talking to a friend or family member","Maybe, I’m curious.","No","More mental health awareness in schools/universities",""
"2025/02/19 2:05:30 PM GMT+5:30","26+","Non-binary / Prefer not to say","Undergraduate","3️⃣","Less than 2 hours","Exams & Tests","4-6 hours","Healthy eating habits","Sometimes (A few times a month)","Exercising or engaging in a hobby","Maybe, I’m curious.","Yes","Mindfulness workshops & stress management programs",""
"2025/02/19 2:05:38 PM GMT+5:30","26+","Non-binary / Prefer not to say","Undergraduate","4️⃣","Less than 2 hours","Lack of Time Management","6-8 hours","Meditation or mindfulness practices","Rarely (Almost never)","Seeking professional help (counseling, therapy)","Yes, I would love that!","No","Relaxation spaces in academic institutions",""
"2025/02/19 2:05:46 PM GMT+5:30","19-21","Non-binary / Prefer not to say","Undergraduate","1️⃣","4-6 hours","Competitive Environment","6-8 hours","Meditation or mindfulness practices","Always (Every day)","Talking to a friend or family member","Maybe, I’m curious.","No","Online AI Chatbots for quick mental health advice",""
"2025/02/19 2:05:54 PM GMT+5:30","22-25","Female","Postgraduate","4️⃣","4-6 hours","Competitive Environment","Less than 4 hours","Listening to music/podcasts for relaxation","Sometimes (A few times a month)","Using social media to distract myself","Yes, I would love that!","No","Online AI Chatbots for quick mental health advice",""
